epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,205.806,1.37627,0.6154,0.92404,0.74169,0.72222,0.77894,0.34523,1.93341,1.06501,1.14107,0.000226688,0.000226688,0.000226688
90,207.652,1.3729,0.56575,0.89892,0.74169,0.72222,0.77894,0.34523,1.93341,1.06501,1.14107,0.000211642,0.000211642,0.000211642
91,210.093,1.34428,0.59549,0.90334,0.74169,0.72222,0.77894,0.34523,1.93341,1.06501,1.14107,0.0001962,0.0001962,0.0001962
92,215.613,1.40762,0.63313,0.84894,0.7589,0.70833,0.76936,0.32931,1.98177,1.07776,1.16061,0.000180362,0.000180362,0.000180362
93,217.333,1.28798,0.5634,0.88212,0.7589,0.70833,0.76936,0.32931,1.98177,1.07776,1.16061,0.000164128,0.000164128,0.000164128
94,219.335,1.61697,0.63214,0.76393,0.7589,0.70833,0.76936,0.32931,1.98177,1.07776,1.16061,0.000147498,0.000147498,0.000147498
95,221.277,1.77256,0.65013,0.80511,0.7589,0.70833,0.76936,0.32931,1.98177,1.07776,1.16061,0.000130472,0.000130472,0.000130472
96,223.249,1.38598,0.60535,0.85295,0.71823,0.70804,0.7681,0.31953,2.03825,1.07825,1.18009,0.00011305,0.00011305,0.00011305
97,225.063,2.07456,0.68992,0.77876,0.71823,0.70804,0.7681,0.31953,2.03825,1.07825,1.18009,9.5232e-05,9.5232e-05,9.5232e-05
98,227.015,1.35232,0.5716,0.84314,0.71823,0.70804,0.7681,0.31953,2.03825,1.07825,1.18009,7.7018e-05,7.7018e-05,7.7018e-05
99,228.875,1.48346,0.60937,0.80866,0.71823,0.70804,0.7681,0.31953,2.03825,1.07825,1.18009,5.8408e-05,5.8408e-05,5.8408e-05
100,231.144,1.29538,0.58078,0.89237,0.69205,0.73611,0.74614,0.30374,2.08138,1.08732,1.19272,3.9402e-05,3.9402e-05,3.9402e-05
